,Age,Income,Children,Outage_sec_perweek,MonthlyCharge,Bandwidth_GB_Year,Tenure,Techie_Yes,Phone_Yes,Multiple_Yes,StreamingTV_Yes
46,23,132116.33,2,12.50184778,184.964681,2384.885909,22.25746016,0,1,0,0
47,43,37358.13,3,9.750038902,195.006206,1213.940165,9.427146079,1,1,1,0
48,86,26534.16,1,7.8686608510000005,104.962874,740.010722,7.760290062,0,1,0,1
49,84,76430.83,2,12.43563329,92.488023,897.9716152999999,11.56938439,0,1,0,0
50,62,4662.37,2,8.957166926000001,184.97968400000002,1026.387172,3.343811019,0,1,1,0
51,68,43820.85,5,8.015021713,187.656013,1234.244324,7.338869531,0,1,0,1
52,59,38391.55,1,4.210347704,149.96209299999998,727.3731845,5.486534225,0,1,0,1
53,31,44137.6,0,11.13960534,169.944668,452.87215039999995,1.55278221,1,1,1,1
54,51,14364.65,0,9.03738856,160.00128,1296.6745429999999,12.07970325,0,1,1,0
55,58,62359.91,1,10.91594785,129.96209299999998,1840.628269,13.98666226,0,1,0,1
56,73,82634.86,1,8.387624096,114.950905,1324.330108,9.563362997,0,1,0,0
57,33,15690.25,1,11.4487514,142.515576,958.1397059000001,6.7329489460000005,0,1,0,0
58,58,14568.7,1,10.22013704,220.14775,1868.8640269999999,15.72071086,0,1,1,1
59,49,29207.46,0,8.425458142,124.97808,676.712908,7.233605493,0,1,0,0
60,26,55319.23,1,8.386280618999999,164.964681,1086.990308,2.8710170369999997,0,1,0,0
61,25,81831.49,1,9.565924291,194.976769,704.7540406,2.3448753819999997,0,1,1,1
62,42,100076.65,0,10.79349982,152.45551899999998,1416.444695,7.960490246,0,1,0,0
63,81,69965.65,1,6.081975067,92.5018,1095.950634,12.25062113,0,1,0,0
64,43,34883.69,1,13.55065547,127.48872800000001,1083.610268,9.634946079,1,1,0,0
65,63,45634.2,2,9.470419821,184.963371,1570.641337,7.916533093,0,1,1,1
66,70,10964.73,3,6.194985909,265.146969,1007.4255529999999,4.471254161,0,1,1,1
67,78,22365.28,1,10.80393657,207.609354,1323.028419,10.79028074,0,1,0,1
68,48,52636.6,0,7.903964267,152.462354,1808.730555,12.24190682,0,1,1,1
69,63,19048.13,1,11.27443693,200.132293,1120.2414720000002,2.2038594430000003,1,1,0,1
70,60,42784.82,4,6.1295093089999995,212.65568599999997,2676.789803,23.92132231,0,1,0,1
71,87,77996.88,0,7.969277912000001,255.11979399999998,1268.0869089999999,3.7311787000000005,1,1,1,1
72,54,47507.3,3,4.368120492,134.950905,822.6771666,7.980015371,0,1,0,0
73,35,7724.73,3,6.258356397999999,255.137219,1577.915603,9.190009376,0,1,0,1
74,70,1509.52,1,12.92303286,214.966286,648.7471776000001,2.378630018,0,1,1,0
75,67,81124.71,2,12.43301273,270.160419,1648.102673,5.43464555,0,1,1,1
76,46,11795.57,4,7.607663559,200.165175,768.0874545,1.092361222,0,0,0,1
77,50,74794.84,1,7.442789019,149.937833,2426.030626,20.13981517,0,1,0,0
78,24,19038.78,1,13.04429298,240.11486800000003,2660.503932,24.64873861,0,1,1,1
79,20,79167.77,0,14.89762162,127.49576599999999,1129.549713,9.677739656,0,1,0,0
80,29,37428.26,1,13.79387475,187.609354,1771.286466,9.82814183,0,1,0,1
81,31,45148.38,0,15.66367593,169.992756,943.3391244,7.832238337000001,1,1,1,0
82,72,74855.47,5,8.513410306,192.45674499999998,1907.2260829999998,19.45250317,0,1,1,0
83,71,45323.86,4,8.265002035,120.004928,1885.939118,14.34766616,0,1,0,0
84,32,71596.14,2,8.6026551,195.006206,631.7435653,2.257358355,0,1,1,0
85,33,10389.95,0,6.03993035,139.95684,562.6095219,2.358129018,0,1,0,1
86,67,19657.14,3,14.6040829,114.983787,593.8572264,4.650578623,1,1,0,0
87,66,27827.03,0,7.274007029,207.638588,777.3060717999999,3.7217726160000004,0,1,1,1
88,21,15609.05,4,8.913898759,187.609354,1393.202392,3.76663012,0,1,0,1
89,61,19815.63,0,11.59313893,134.950905,393.6524652,4.151256695,0,1,0,0
90,75,58482.9,0,8.294186076,192.470522,409.7486664,2.188918771,0,1,1,0
91,63,41656.53,0,15.19664016,222.62805699999998,2138.107161,13.85488928,0,0,0,1
92,68,115510.46,0,5.0839959939999995,162.468917,443.98403099999996,3.2733411510000003,0,1,0,0
93,32,15841.19,2,6.942719201,159.97935800000002,2481.385603,19.75096265,0,1,1,0
94,76,81127.41,0,9.834012571,184.97968400000002,2233.567181,18.38404445,0,1,1,0
95,29,24270.88,0,11.0596826,245.145743,1158.91369,4.672610857,0,1,0,1
96,83,54466.33,0,8.834079073,124.97808,529.40733,6.796299371,0,1,0,0
97,23,64816.84,10,5.271228601000001,187.484705,1956.7337,12.97632235,0,1,0,1
98,80,103311.26,5,9.394961367,162.500692,2056.386979,20.31163945,0,1,0,0
99,20,40211.04,0,14.475436499999999,182.46760700000002,1067.373076,6.998814446,0,1,1,1
100,69,58077.38,0,10.68311773,222.660939,1806.1357329999998,14.46288204,0,0,0,1
101,32,43466.35,1,13.79409442,182.46760700000002,1397.701335,11.13472066,0,1,1,1
102,53,23289.77,0,12.40165307,220.161527,808.4305471,2.542296644,0,1,1,1
103,25,49158.49,2,10.24782033,169.937833,1886.5319370000002,17.22596021,0,1,0,0
104,69,3805.84,0,14.86100819,204.963371,2294.7811309999997,22.79214163,0,0,1,1
105,71,52616.27,3,6.716953195,204.963371,826.3438621,3.8236897439999997,0,1,1,1
106,53,30550.42,3,8.124258176,245.128318,2072.564168,10.77094687,0,1,1,1
107,56,12154.01,2,14.60903837,172.473314,1436.793746,13.08671185,0,1,1,1
108,42,30649.31,0,12.65015936,172.45674499999998,1963.3326829999999,14.76468813,0,0,1,0
109,33,31417.33,3,12.0281501,194.976769,1324.164906,9.473091121,0,1,1,1
110,47,55861.19,1,15.68043093,137.439154,704.9375603,5.197446331,0,1,0,1
111,48,9044.26,1,11.30421466,192.470522,888.6517305,6.5775526829999995,0,1,1,0
112,63,25381.66,0,10.26646787,159.951231,377.0810282,3.1745719180000003,0,1,0,0
113,40,65064.31,1,7.56618217,112.455141,1606.489936,17.88002366,0,1,0,0
114,67,12527.51,0,10.40677369,174.96176599999998,1431.409396,13.12190056,1,1,0,1
115,56,35499.06,0,7.146124361,162.452604,2253.85247,23.34617699,1,1,0,1
116,24,26282.4,6,9.807530479,137.48359399999998,1353.29384,6.311709177999999,1,1,1,0
117,79,51237.28,2,10.61217014,275.133571,1701.457566,12.58298231,0,1,1,1
118,61,64222.21,3,5.785085772,127.44206899999999,1290.737183,7.120096362999999,0,1,0,0
119,38,11014.98,0,9.062879297,210.138,1403.270091,9.344886869,1,1,0,1
120,28,21172.49,4,16.54443477,147.45641899999998,2603.903672,22.37815032,1,1,1,0
121,44,26130.78,3,4.539566699,242.65729100000001,1256.287854,4.799514433,0,1,1,1
122,65,36478.21,1,7.251198724,114.983787,980.9935923,10.04672315,1,1,0,0
123,35,54533.63,3,8.943293567000001,187.656013,1347.869205,8.156552837000001,0,1,0,1
124,31,37103.18,2,12.57884215,149.991327,1127.267848,7.992791229,0,1,1,1
125,34,74679.84,2,11.64836306,124.960655,1269.836202,7.231032028,1,1,1,0
126,68,95028.57,2,6.076260652,220.161527,1038.7453779999998,4.6276720419999995,0,1,1,1
127,62,34281.1,0,11.75681641,172.48852,1531.155367,10.05306287,0,0,1,0
128,52,36240.81,0,9.173739977,120.004928,991.2441024,4.171044392,0,1,0,0
129,32,9515.64,5,8.353693631,220.161527,1244.296865,4.5686826410000005,0,1,1,1
130,47,125814.88,0,10.74539526,139.965008,1162.332926,6.085030507000001,0,1,0,0
131,66,12995.68,8,11.36323648,159.951231,577.1157824000001,2.730250735,0,1,0,0
132,70,77531.43,1,2.310584634,184.949594,1442.9748769999999,8.574901206,0,1,1,1
133,41,87354.99,3,5.290318715,252.63780699999998,1577.208717,9.743201772,0,1,1,1
134,59,76567.85,2,5.258274954,112.455141,886.9398743999999,9.482919033,0,1,0,0
135,46,30663.52,1,7.157580014,179.97935800000002,1065.0644300000001,8.447988841,0,1,1,0
136,70,122957.19,3,2.120350511,202.443347,951.886985,6.365998533,0,1,1,0
137,89,31600.92,1,4.978546291000001,197.472533,1404.435534,7.251397592000001,0,1,1,1
138,75,74638.78,4,6.547676875,255.155493,1925.9117219999998,14.64011644,0,0,1,1
139,26,32652.3,0,7.410590719,174.976769,1805.0112980000001,11.71637124,1,1,1,1
140,25,63650.54,4,11.39765385,169.992756,700.7343179,4.13273503,0,1,1,0
141,84,28622.6,1,11.29945603,192.44043200000002,513.237305,2.887429547,0,1,1,1
142,69,50252.79,3,11.30748265,182.460772,717.3876564,3.303030246,0,1,0,0
143,31,19800.81,3,10.31551212,139.965008,1313.492851,5.15825129,0,1,0,0
144,76,35954.77,10,13.71555406,137.461553,819.4195268999999,3.2375602339999996,0,1,0,0
145,75,36342.31,8,15.40917963,217.472533,882.1160656,2.7331092339999996,0,1,1,1
146,74,48715.53,1,11.9664542,210.138,724.7803356000001,3.180102025,0,1,0,1
147,49,23204.98,1,10.18046877,104.964303,1829.270014,15.85983755,0,0,0,0
148,47,35302.52,1,14.01485542,262.610632,1668.1991189999999,11.73724209,0,1,1,1
149,20,54895.16,4,14.62784306,152.488401,1124.353152,7.006240694,0,1,0,0
150,26,60398.06,2,10.90517581,174.974431,1316.239744,5.562130367000001,0,1,1,0
151,72,8115.88,2,8.894475174,220.11851600000003,1637.201426,14.53027663,0,1,0,1
152,41,33858.66,1,10.50187888,162.452604,951.8524405999999,5.905906389,1,1,0,1
153,26,29950.47,3,12.34250072,184.96103300000001,1248.097652,3.260462654,0,1,1,0
154,55,49421.69,4,10.29380879,217.48397200000002,2220.255405,18.91276578,0,1,1,0
155,46,11061.05,1,8.512650562000001,220.11851600000003,1669.202417,14.25617986,0,1,0,1
156,87,15388.32,0,7.82671592,187.642236,990.0555075999999,7.983887266,1,1,0,1
157,39,20624.31,1,6.985590245,174.96176599999998,967.9819136,5.969967132000001,1,1,0,1
158,81,47877.81,0,11.40449185,252.63780699999998,2190.259876,19.95277818,0,1,1,1
159,83,46154.17,0,10.44249511,130.024412,1445.7527810000001,14.85781115,0,1,0,0
160,50,107111.8,0,15.38627887,162.48269399999998,528.6553088000001,2.600063739,0,1,0,0
161,87,10403.59,3,10.68024546,182.46760700000002,1296.481055,11.92299244,0,1,1,1
162,76,22412.6,3,10.62439366,139.93491799999998,1195.3930369999998,5.972864167000001,0,1,0,1
163,25,19476.27,6,10.91642397,200.165175,1700.121992,10.87555535,1,1,0,1
164,34,96382.76,3,8.580626195,202.682861,2120.673828,16.00330155,0,1,0,1
165,46,28022.56,1,8.996933306,159.951231,1238.421347,12.63074989,0,1,0,0
166,73,35478.4,1,7.602570192000001,149.948316,847.110799,8.494439199999999,0,1,0,1
167,57,10155.51,8,9.217689334,149.959755,1112.9371019999999,8.044444101,0,1,0,0
168,58,87537.25,3,9.591529443999999,137.469817,1623.045026,12.07358377,0,1,1,0
169,70,34112.1,4,13.36027908,187.656013,1479.7301810000001,10.21634248,0,1,0,1
170,53,32653.51,0,4.372034777,164.98529299999998,2144.7350239999996,15.50354683,0,1,1,1
171,31,35321.46,0,10.59285179,159.965008,1522.2895119999998,13.88004531,0,1,0,0
172,38,49277.48,0,12.81260566,172.462354,1974.7800539999998,19.48900163,0,1,1,1
173,26,37297.82,0,3.7672989869999998,204.949594,1261.177198,10.01771765,0,1,1,1
174,44,14928.96,2,17.56798903,147.47384399999999,939.7181324,7.34059599,0,1,0,0
175,66,24702.68,3,11.2369761,162.471255,1357.062854,12.64742067,1,1,0,1
176,58,87535.71,1,8.54892416,119.95683999999999,1456.887443,8.850426838999999,0,1,0,1
177,51,63166.87,6,6.0941099020000005,207.609354,937.5863866000001,3.701557118,0,1,0,1
178,34,11856.81,4,13.9077275,194.999168,830.1193011,2.976033785,0,1,1,0
179,87,27326.79,0,7.905333122,174.975543,737.8564607999999,5.522376826,0,1,0,1
180,67,12779.23,1,12.53830949,240.11486800000003,1781.8548620000001,15.64596698,0,1,1,1
181,59,25519.91,4,12.821941800000001,240.11486800000003,2464.5774890000002,23.00764441,0,1,1,1
182,23,46871.21,7,8.941553742,139.98300600000002,2392.203409,17.24924155,0,1,0,0
183,42,77383.72,0,10.51043963,240.11486800000003,1664.19271,13.01107597,0,1,1,1
184,24,47395.3,1,11.86384439,209.993134,1433.616898,5.1040822089999995,0,1,1,0
185,81,90977.74,2,10.76051016,147.45641899999998,823.4933242999999,3.5214999239999996,0,1,1,0
186,78,135727.71,8,11.05420024,107.49576599999999,1468.3574210000002,8.08137067,0,1,0,0
187,51,47726.25,1,8.174495258,152.50217800000001,590.7765801,1.875430489,0,1,0,0
188,70,51721.64,1,10.05388383,79.978861,418.62068849999997,5.587484456,0,1,0,0
189,87,41531.03,0,7.045552801,142.48269399999998,1181.9918460000001,7.007695148,0,1,0,0
190,46,33504.8,0,8.957297136000001,117.439154,733.4036934,1.408375942,0,1,0,1
191,56,34197.3,8,15.74015572,220.132293,1719.173387,11.64983735,0,1,0,1
192,44,11518.58,4,13.41209586,152.45551899999998,1205.956363,2.964559883,1,1,0,0
193,33,31065.17,0,14.89835355,174.96176599999998,1261.0327630000002,10.25635754,0,1,0,1
194,19,32097.17,0,13.62135046,202.443347,741.7766988,3.892407013,0,1,1,0
195,31,23424.88,1,14.95912113,210.12704,932.6084358999999,3.2269967110000004,0,1,0,1
196,34,35988.24,1,11.741245,139.97923899999998,1708.614019,15.87685513,0,1,0,0
197,43,35539.7,4,7.765121655,139.965008,1363.5860300000002,5.874064017,0,1,0,0
198,82,27959.34,1,7.130431692999999,137.439154,472.10570189999993,3.7563592760000004,0,1,0,1
199,36,52232.97,6,8.359515606,102.474625,558.2340556,2.905283283,0,1,0,0
200,48,18198.59,1,9.42799205,252.63780699999998,815.194738,1.474810061,0,1,1,1
201,52,16851.94,0,10.95510131,194.999168,2007.3036170000003,18.56165869,0,1,1,0
202,35,16440.05,1,10.8621377,242.61063199999998,2088.48083,12.39088509,0,1,1,1
203,83,44223.58,3,7.352533505,127.458638,1430.761492,14.17192333,0,1,0,1
204,20,33343.73,0,11.38860234,129.976324,822.3008694,3.86023041,0,1,0,1
205,25,30664.56,0,9.580144161,240.11486800000003,2059.2009980000003,17.72593456,0,1,1,1
206,88,31934.04,0,10.79191234,174.975543,617.542543,3.0430631669999997,0,1,0,1
207,54,26676.4,1,9.982341124,169.944668,758.4775985,5.827112819,0,1,1,1
208,46,67211.95,1,6.511921085,162.511928,894.6733856000001,4.648958177,0,1,1,0
209,75,31136.77,2,10.70500472,119.95683999999999,1639.898269,11.96274778,0,1,0,1
210,66,40660.84,5,11.58410296,137.439154,710.7541633,4.525864256,0,0,0,1
211,51,10606.59,0,8.01651453,207.46728000000002,1092.226042,8.038308899,1,1,1,1
212,81,92447.71,3,15.12148226,149.974105,757.0097075,1.416592892,0,1,1,0
213,75,13612.16,0,12.63643487,225.178625,2301.8507210000002,19.83504645,0,1,0,1
214,54,13765.39,3,16.68178185,232.63780699999998,2401.406545,15.85002222,0,0,1,1
215,73,53019.98,2,11.08409914,117.47203600000002,1535.788894,15.94935291,0,1,0,1
216,53,42523.02,0,12.99948061,137.469817,1536.589816,11.94550648,0,1,1,0
217,33,52143.7,8,11.17949466,220.132293,2153.778421,16.03360405,0,1,0,1
218,41,19097.94,5,7.369412654,124.960655,2409.195918,21.29342532,0,1,1,0
219,59,11301.4,1,9.84688181,199.990219,1342.862457,4.95598008,1,1,1,1
220,23,17814.0,3,18.19542503,159.947583,1046.054674,2.73951266,0,1,1,0
221,32,22533.05,1,13.53989069,245.145743,1204.479468,4.973046104,0,0,0,1
222,51,19974.4,3,5.458806701,255.155493,1616.908193,10.28430068,0,1,1,1
223,46,45146.99,1,12.077285400000001,134.950905,345.0099528,2.581692044,0,1,0,0
224,37,10330.1,3,6.918984305,159.947583,1427.088655,6.945736396,0,1,1,0
225,53,15281.28,0,14.84155042,139.987503,1452.334634,9.999416271,0,1,1,0
226,62,11217.96,1,12.66717474,179.947583,795.4957357999999,6.035737465,0,1,1,0
227,57,17516.0,1,11.43786808,127.473844,1333.894229,9.004964377,0,0,0,0
228,80,20566.64,2,6.915228797,232.63780699999998,1402.20491,5.071456681,0,1,1,1
229,43,36128.68,1,11.30215199,195.006206,1447.196935,12.02106494,0,1,1,0
230,35,52129.84,1,9.513085538,267.642733,1662.510936,5.049303717,1,1,1,1
231,63,25985.06,1,9.497106973,149.959755,1707.641161,18.17247008,0,1,0,0
232,63,10909.79,1,12.21852573,220.11486800000003,2181.752793,15.31997698,0,1,1,1
233,27,41151.14,1,8.272244827,157.48359399999998,1575.683555,16.0708543,0,1,1,0
234,19,64063.23,4,10.24857935,127.474951,1029.489242,7.873371451000001,0,1,0,0
235,40,20414.07,1,6.743431946,139.98157700000002,2370.184448,23.62866494,1,1,0,1
236,42,41412.1,0,12.470352199999999,255.133571,3309.919373,25.863456600000003,0,1,1,1
237,40,99195.08,0,7.913676085,194.966286,1623.273925,9.405224809,0,1,1,0
238,72,18408.94,0,9.362849722,179.96558100000001,1146.1999210000001,12.84490034,1,1,1,0
239,61,15930.45,3,17.41324465,174.976769,2229.268031,16.59325254,1,0,1,1
240,71,25611.29,0,13.43700846,187.609354,2512.36494,20.35456039,0,1,0,1
241,68,9428.86,4,11.95206054,169.937833,1297.388488,12.00925702,0,1,0,0
242,88,3810.16,1,4.550449856,115.00206100000001,283.39178,2.861423443,0,1,1,0
243,64,118022.06,1,6.09060584,152.462354,1947.7853,14.20349453,1,1,1,1
244,63,51992.79,1,10.2863601,207.609354,849.1972541000001,4.98152586,0,1,0,1
245,53,79993.43,0,11.17709222,147.50307800000002,2131.3598269999998,23.12150846,0,1,1,0
246,41,37706.85,0,14.12145884,200.118516,1464.035068,6.307178205,1,1,0,1
247,63,22466.53,2,7.799780591,137.497825,1381.538548,12.73622643,0,1,1,0
248,56,16608.27,4,7.122072827,134.98013899999998,1248.626874,12.00466914,0,1,1,0
249,27,25146.14,2,9.329902365,147.442069,558.3751762,2.243757398,1,1,0,0
250,47,58882.35,2,7.509389052,197.49445500000002,676.2178659,1.5833947019999999,0,1,1,1
251,42,31809.46,4,15.06990851,162.529926,1641.9386960000002,14.23487852,0,1,1,0
252,72,27235.54,0,9.321265424,210.151777,1811.964373,15.28108311,0,1,0,1
253,58,70476.82,3,3.564651961,159.96558100000001,1066.6325550000001,4.135827839,0,1,1,0
254,33,49396.09,0,7.779622319,190.173699,1514.131966,9.740709475,0,0,0,1
255,87,35060.94,6,10.74985413,202.649979,1189.549671,1.213704886,0,1,0,1
256,34,66055.53,0,7.738373361,134.950905,1114.020282,11.86252419,0,1,0,0
257,76,91335.76,7,12.01267388,142.500692,1078.291303,2.416685985,0,1,0,0
258,38,54349.75,3,14.04748759,114.99756399999998,854.2977548,6.73327535,1,1,0,0
259,47,75042.1,0,3.11231175,232.62402999999998,1489.077486,6.549035393,0,1,1,1
260,84,91001.1,7,8.284591121,242.62805699999998,1649.312808,10.57197066,0,1,0,1
261,19,44426.28,4,6.269792565,202.443347,905.1959227,3.3797565689999995,0,0,1,0
262,87,63284.16,0,9.803905459,124.99353700000002,684.6318529,8.959047529,0,1,1,0
263,75,14039.21,3,8.571019738,174.976769,1662.533055,10.23679934,0,1,1,1
264,37,12453.24,0,10.00344746,225.145743,2436.57146,14.96503088,0,0,0,1
265,52,15934.12,1,4.255224068,275.133571,2677.7404100000003,23.79323993,0,1,1,1
266,24,48314.4,0,11.2714618,287.642733,1779.309609,11.45675389,0,1,1,1
267,83,5511.77,4,8.477982632,177.65076000000002,1494.7164089999999,11.04076215,0,1,0,1
268,19,10701.11,3,9.753145376,220.11486800000003,1740.7260399999998,7.425503428,0,0,1,1
269,78,10767.15,1,14.57387887,197.516854,704.7552668999999,2.411712843,0,1,1,0
270,61,13493.63,4,13.13441554,194.974431,558.4710882999999,2.009542213,0,1,1,0
271,38,25071.58,0,11.62771397,175.133074,1282.279049,9.068119482,0,1,0,1
272,79,368.5,0,6.114030982999999,147.478341,287.8189836,1.9267898540000001,0,1,1,0
273,49,27976.63,0,12.76603868,134.98013899999998,1129.529441,11.77389421,0,1,1,0
274,41,56154.5,0,6.348897952000001,157.48359399999998,394.0148722,2.585228303,0,1,1,0
275,75,62145.59,0,16.10939031,255.141716,1302.230824,9.517703088,0,1,1,1
276,60,6517.94,1,7.151598137000001,137.439154,970.4682918999999,9.532523799,0,1,0,1
277,70,19090.03,1,4.575363954,235.159141,2522.88913,23.103996,0,1,0,1
278,23,13194.33,0,13.42263904,147.46006699999998,682.9871863,5.104873611,0,1,0,0
279,84,63963.36,2,3.559550725,232.63780699999998,1537.109931,6.877942743999999,1,1,1,1
280,63,34447.89,1,5.971214226,137.439154,1961.923965,21.17839683,0,1,0,1
281,88,36315.29,2,7.287197615,129.948316,676.1747964,1.5863317019999998,0,1,0,1
282,44,5009.07,0,11.30031859,242.632554,929.2607767000001,3.778174405,0,1,1,1
283,49,14202.72,1,10.26519974,187.609354,1849.484087,11.58276897,1,1,0,1
284,32,54779.76,8,16.28075484,232.65203799999998,1998.680227,11.62258922,1,1,1,1
285,69,36453.31,1,10.96553586,159.98046499999998,1898.877878,20.78013031,0,1,1,0
286,60,11250.71,2,10.93514898,159.947583,992.3501481000001,3.940297464,0,1,1,0
287,57,65951.35,0,2.98020454,137.48724199999998,994.6354785,11.38099891,1,1,0,0
288,62,15292.25,8,17.05256354,245.131966,954.0290712000001,1.4733043369999999,0,1,0,1
289,26,41879.1,0,12.29165611,117.439154,1775.8381530000001,12.75609778,0,1,0,1
290,85,17080.57,0,10.32744663,209.993134,1297.050577,6.253919786,0,1,1,0
291,82,68122.23,2,9.22949351,169.974105,1746.405243,18.953705300000003,0,1,1,0
292,40,39468.79,2,10.02758972,197.470195,1698.4658329999997,9.640061615,0,1,1,0
293,50,123763.12,0,7.259022839,137.516476,665.4740915,5.201330266,0,1,1,0
294,71,84301.44,1,10.97274944,207.475448,1886.153328,12.42120946,0,1,1,0
295,48,42469.81,2,11.87042081,160.00128,958.6989907999999,8.134438503,0,1,1,0
296,24,75458.79,0,9.531063533,147.478341,1446.203986,14.86764776,0,1,1,0
297,79,60345.9,3,8.798065012999999,127.48872800000001,774.6125757,5.548652108,0,1,0,0
298,82,76066.77,4,15.27146446,139.98157700000002,1939.811149,18.35541838,0,1,0,1
299,68,42755.27,2,7.014445177000001,220.132293,1165.564309,7.62779591,1,1,0,1
300,77,76874.25,5,10.62019312,214.952509,750.8768234,4.439685675,0,1,1,0
301,19,41075.64,1,10.04585562,139.99788999999998,1292.3206,11.16903388,1,1,0,0
302,80,63095.62,1,10.88047174,270.160419,2335.130986,14.14101821,1,0,1,1
303,31,82131.87,4,9.975481565,202.443347,769.8534863,3.2124005689999997,0,1,1,0
304,62,28502.33,2,7.248946018,172.47417,1729.837284,16.84928353,0,1,0,0
305,80,9450.84,4,9.53003591,137.46838799999998,649.3891796,3.8347274710000003,0,1,1,1
306,36,44977.06,1,6.592317798,104.962874,823.0046464,6.198230305,0,1,0,1
307,72,13583.35,0,8.124261532,174.969934,1107.8820560000001,4.216732972,0,1,0,0
308,50,42093.64,0,11.44655577,139.99788999999998,683.8622598999999,4.355064781,0,0,0,0
309,31,55398.87,3,10.175581800000002,144.98894099999998,1301.49424,4.0302503739999995,0,1,0,1
310,22,22362.59,0,13.736212599999998,114.99756399999998,1079.0125050000001,9.915959247,0,1,0,0
