,Age,Children,Income,Outage_sec_perweek,Phone_Yes,MonthlyCharge,Churn_Yes
58,58,1,14568.7,10.22013704,1,220.14775,1
59,49,0,29207.46,8.425458142,1,124.97808,0
60,26,1,55319.23,8.386280618999999,1,164.964681,0
61,25,1,81831.49,9.565924291,1,194.976769,0
62,42,0,100076.65,10.79349982,1,152.45551899999998,1
63,81,1,69965.65,6.081975067,1,92.5018,0
64,43,1,34883.69,13.55065547,1,127.48872800000001,0
65,63,2,45634.2,9.470419821,1,184.963371,0
66,70,3,10964.73,6.194985909,1,265.146969,1
67,78,1,22365.28,10.80393657,1,207.609354,1
68,48,0,52636.6,7.903964267,1,152.462354,0
69,63,1,19048.13,11.27443693,1,200.132293,1
70,60,4,42784.82,6.1295093089999995,1,212.65568599999997,1
71,87,0,77996.88,7.969277912000001,1,255.11979399999998,1
72,54,3,47507.3,4.368120492,1,134.950905,0
73,35,3,7724.73,6.258356397999999,1,255.137219,1
74,70,1,1509.52,12.92303286,1,214.966286,1
75,67,2,81124.71,12.43301273,1,270.160419,1
76,46,4,11795.57,7.607663559,0,200.165175,1
77,50,1,74794.84,7.442789019,1,149.937833,0
78,24,1,19038.78,13.04429298,1,240.11486800000003,1
79,20,0,79167.77,14.89762162,1,127.49576599999999,0
80,29,1,37428.26,13.79387475,1,187.609354,1
81,31,0,45148.38,15.66367593,1,169.992756,0
82,72,5,74855.47,8.513410306,1,192.45674499999998,0
83,71,4,45323.86,8.265002035,1,120.004928,0
84,32,2,71596.14,8.6026551,1,195.006206,0
85,33,0,10389.95,6.03993035,1,139.95684,0
86,67,3,19657.14,14.6040829,1,114.983787,0
87,66,0,27827.03,7.274007029,1,207.638588,1
88,21,4,15609.05,8.913898759,1,187.609354,1
89,61,0,19815.63,11.59313893,1,134.950905,0
90,75,0,58482.9,8.294186076,1,192.470522,1
91,63,0,41656.53,15.19664016,0,222.62805699999998,1
92,68,0,115510.46,5.0839959939999995,1,162.468917,0
93,32,2,15841.19,6.942719201,1,159.97935800000002,1
94,76,0,81127.41,9.834012571,1,184.97968400000002,0
95,29,0,24270.88,11.0596826,1,245.145743,1
96,83,0,54466.33,8.834079073,1,124.97808,0
97,23,10,64816.84,5.271228601000001,1,187.484705,1
98,80,5,103311.26,9.394961367,1,162.500692,0
99,20,0,40211.04,14.475436499999999,1,182.46760700000002,0
100,69,0,58077.38,10.68311773,0,222.660939,1
101,32,1,43466.35,13.79409442,1,182.46760700000002,0
102,53,0,23289.77,12.40165307,1,220.161527,1
103,25,2,49158.49,10.24782033,1,169.937833,0
104,69,0,3805.84,14.86100819,0,204.963371,1
105,71,3,52616.27,6.716953195,1,204.963371,1
106,53,3,30550.42,8.124258176,1,245.128318,1
107,56,2,12154.01,14.60903837,1,172.473314,1
108,42,0,30649.31,12.65015936,0,172.45674499999998,1
109,33,3,31417.33,12.0281501,1,194.976769,1
110,47,1,55861.19,15.68043093,1,137.439154,0
111,48,1,9044.26,11.30421466,1,192.470522,1
112,63,0,25381.66,10.26646787,1,159.951231,1
113,40,1,65064.31,7.56618217,1,112.455141,0
114,67,0,12527.51,10.40677369,1,174.96176599999998,1
115,56,0,35499.06,7.146124361,1,162.452604,0
116,24,6,26282.4,9.807530479,1,137.48359399999998,0
117,79,2,51237.28,10.61217014,1,275.133571,0
118,61,3,64222.21,5.785085772,1,127.44206899999999,1
119,38,0,11014.98,9.062879297,1,210.138,1
120,28,4,21172.49,16.54443477,1,147.45641899999998,0
121,44,3,26130.78,4.539566699,1,242.65729100000001,1
122,65,1,36478.21,7.251198724,1,114.983787,0
123,35,3,54533.63,8.943293567000001,1,187.656013,0
124,31,2,37103.18,12.57884215,1,149.991327,0
125,34,2,74679.84,11.64836306,1,124.960655,0
126,68,2,95028.57,6.076260652,1,220.161527,1
127,62,0,34281.1,11.75681641,0,172.48852,0
128,52,0,36240.81,9.173739977,1,120.004928,0
129,32,5,9515.64,8.353693631,1,220.161527,1
130,47,0,125814.88,10.74539526,1,139.965008,1
131,66,8,12995.68,11.36323648,1,159.951231,0
132,70,1,77531.43,2.310584634,1,184.949594,1
133,41,3,87354.99,5.290318715,1,252.63780699999998,1
134,59,2,76567.85,5.258274954,1,112.455141,0
135,46,1,30663.52,7.157580014,1,179.97935800000002,0
136,70,3,122957.19,2.120350511,1,202.443347,0
137,89,1,31600.92,4.978546291000001,1,197.472533,0
138,75,4,74638.78,6.547676875,0,255.155493,1
139,26,0,32652.3,7.410590719,1,174.976769,1
140,25,4,63650.54,11.39765385,1,169.992756,0
141,84,1,28622.6,11.29945603,1,192.44043200000002,1
142,69,3,50252.79,11.30748265,1,182.460772,0
143,31,3,19800.81,10.31551212,1,139.965008,0
144,76,10,35954.77,13.71555406,1,137.461553,1
145,75,8,36342.31,15.40917963,1,217.472533,1
146,74,1,48715.53,11.9664542,1,210.138,1
147,49,1,23204.98,10.18046877,0,104.964303,0
148,47,1,35302.52,14.01485542,1,262.610632,1
149,20,4,54895.16,14.62784306,1,152.488401,1
150,26,2,60398.06,10.90517581,1,174.974431,1
151,72,2,8115.88,8.894475174,1,220.11851600000003,0
152,41,1,33858.66,10.50187888,1,162.452604,0
153,26,3,29950.47,12.34250072,1,184.96103300000001,1
154,55,4,49421.69,10.29380879,1,217.48397200000002,0
155,46,1,11061.05,8.512650562000001,1,220.11851600000003,0
156,87,0,15388.32,7.82671592,1,187.642236,1
157,39,1,20624.31,6.985590245,1,174.96176599999998,0
158,81,0,47877.81,11.40449185,1,252.63780699999998,1
159,83,0,46154.17,10.44249511,1,130.024412,0
160,50,0,107111.8,15.38627887,1,162.48269399999998,1
161,87,3,10403.59,10.68024546,1,182.46760700000002,1
162,76,3,22412.6,10.62439366,1,139.93491799999998,0
163,25,6,19476.27,10.91642397,1,200.165175,1
164,34,3,96382.76,8.580626195,1,202.682861,1
165,46,1,28022.56,8.996933306,1,159.951231,0
166,73,1,35478.4,7.602570192000001,1,149.948316,0
167,57,8,10155.51,9.217689334,1,149.959755,1
168,58,3,87537.25,9.591529443999999,1,137.469817,0
169,70,4,34112.1,13.36027908,1,187.656013,1
170,53,0,32653.51,4.372034777,1,164.98529299999998,1
171,31,0,35321.46,10.59285179,1,159.965008,1
172,38,0,49277.48,12.81260566,1,172.462354,0
173,26,0,37297.82,3.7672989869999998,1,204.949594,1
174,44,2,14928.96,17.56798903,1,147.47384399999999,0
175,66,3,24702.68,11.2369761,1,162.471255,1
176,58,1,87535.71,8.54892416,1,119.95683999999999,0
177,51,6,63166.87,6.0941099020000005,1,207.609354,1
178,34,4,11856.81,13.9077275,1,194.999168,0
179,87,0,27326.79,7.905333122,1,174.975543,0
180,67,1,12779.23,12.53830949,1,240.11486800000003,1
181,59,4,25519.91,12.821941800000001,1,240.11486800000003,1
182,23,7,46871.21,8.941553742,1,139.98300600000002,0
183,42,0,77383.72,10.51043963,1,240.11486800000003,1
184,24,1,47395.3,11.86384439,1,209.993134,1
185,81,2,90977.74,10.76051016,1,147.45641899999998,0
186,78,8,135727.71,11.05420024,1,107.49576599999999,0
187,51,1,47726.25,8.174495258,1,152.50217800000001,1
188,70,1,51721.64,10.05388383,1,79.978861,0
189,87,0,41531.03,7.045552801,1,142.48269399999998,0
190,46,0,33504.8,8.957297136000001,1,117.439154,0
191,56,8,34197.3,15.74015572,1,220.132293,1
192,44,4,11518.58,13.41209586,1,152.45551899999998,1
193,33,0,31065.17,14.89835355,1,174.96176599999998,0
194,19,0,32097.17,13.62135046,1,202.443347,1
195,31,1,23424.88,14.95912113,1,210.12704,1
196,34,1,35988.24,11.741245,1,139.97923899999998,0
197,43,4,35539.7,7.765121655,1,139.965008,0
198,82,1,27959.34,7.130431692999999,1,137.439154,0
199,36,6,52232.97,8.359515606,1,102.474625,0
200,48,1,18198.59,9.42799205,1,252.63780699999998,1
201,52,0,16851.94,10.95510131,1,194.999168,1
202,35,1,16440.05,10.8621377,1,242.61063199999998,1
203,83,3,44223.58,7.352533505,1,127.458638,0
204,20,0,33343.73,11.38860234,1,129.976324,0
205,25,0,30664.56,9.580144161,1,240.11486800000003,1
206,88,0,31934.04,10.79191234,1,174.975543,0
207,54,1,26676.4,9.982341124,1,169.944668,0
208,46,1,67211.95,6.511921085,1,162.511928,1
209,75,2,31136.77,10.70500472,1,119.95683999999999,0
210,66,5,40660.84,11.58410296,0,137.439154,0
211,51,0,10606.59,8.01651453,1,207.46728000000002,0
212,81,3,92447.71,15.12148226,1,149.974105,0
213,75,0,13612.16,12.63643487,1,225.178625,0
214,54,3,13765.39,16.68178185,0,232.63780699999998,1
215,73,2,53019.98,11.08409914,1,117.47203600000002,0
216,53,0,42523.02,12.99948061,1,137.469817,0
217,33,8,52143.7,11.17949466,1,220.132293,0
218,41,5,19097.94,7.369412654,1,124.960655,0
219,59,1,11301.4,9.84688181,1,199.990219,0
220,23,3,17814.0,18.19542503,1,159.947583,1
221,32,1,22533.05,13.53989069,0,245.145743,1
222,51,3,19974.4,5.458806701,1,255.155493,1
223,46,1,45146.99,12.077285400000001,1,134.950905,0
224,37,3,10330.1,6.918984305,1,159.947583,1
225,53,0,15281.28,14.84155042,1,139.987503,0
226,62,1,11217.96,12.66717474,1,179.947583,1
227,57,1,17516.0,11.43786808,0,127.473844,0
228,80,2,20566.64,6.915228797,1,232.63780699999998,1
229,43,1,36128.68,11.30215199,1,195.006206,1
230,35,1,52129.84,9.513085538,1,267.642733,1
231,63,1,25985.06,9.497106973,1,149.959755,0
232,63,1,10909.79,12.21852573,1,220.11486800000003,1
233,27,1,41151.14,8.272244827,1,157.48359399999998,0
234,19,4,64063.23,10.24857935,1,127.474951,0
235,40,1,20414.07,6.743431946,1,139.98157700000002,0
236,42,0,41412.1,12.470352199999999,1,255.133571,1
237,40,0,99195.08,7.913676085,1,194.966286,1
238,72,0,18408.94,9.362849722,1,179.96558100000001,0
239,61,3,15930.45,17.41324465,0,174.976769,1
240,71,0,25611.29,13.43700846,1,187.609354,0
241,68,4,9428.86,11.95206054,1,169.937833,0
242,88,1,3810.16,4.550449856,1,115.00206100000001,0
243,64,1,118022.06,6.09060584,1,152.462354,1
244,63,1,51992.79,10.2863601,1,207.609354,1
245,53,0,79993.43,11.17709222,1,147.50307800000002,0
246,41,0,37706.85,14.12145884,1,200.118516,0
247,63,2,22466.53,7.799780591,1,137.497825,0
248,56,4,16608.27,7.122072827,1,134.98013899999998,0
249,27,2,25146.14,9.329902365,1,147.442069,0
250,47,2,58882.35,7.509389052,1,197.49445500000002,0
251,42,4,31809.46,15.06990851,1,162.529926,0
252,72,0,27235.54,9.321265424,1,210.151777,1
253,58,3,70476.82,3.564651961,1,159.96558100000001,1
254,33,0,49396.09,7.779622319,0,190.173699,1
255,87,6,35060.94,10.74985413,1,202.649979,1
256,34,0,66055.53,7.738373361,1,134.950905,0
257,76,7,91335.76,12.01267388,1,142.500692,0
258,38,3,54349.75,14.04748759,1,114.99756399999998,0
259,47,0,75042.1,3.11231175,1,232.62402999999998,1
260,84,7,91001.1,8.284591121,1,242.62805699999998,1
261,19,4,44426.28,6.269792565,0,202.443347,1
262,87,0,63284.16,9.803905459,1,124.99353700000002,0
263,75,3,14039.21,8.571019738,1,174.976769,0
264,37,0,12453.24,10.00344746,0,225.145743,1
265,52,1,15934.12,4.255224068,1,275.133571,1
266,24,0,48314.4,11.2714618,1,287.642733,1
267,83,4,5511.77,8.477982632,1,177.65076000000002,1
268,19,3,10701.11,9.753145376,0,220.11486800000003,1
269,78,1,10767.15,14.57387887,1,197.516854,1
270,61,4,13493.63,13.13441554,1,194.974431,0
271,38,0,25071.58,11.62771397,1,175.133074,1
272,79,0,368.5,6.114030982999999,1,147.478341,1
273,49,0,27976.63,12.76603868,1,134.98013899999998,0
274,41,0,56154.5,6.348897952000001,1,157.48359399999998,0
275,75,0,62145.59,16.10939031,1,255.141716,0
276,60,1,6517.94,7.151598137000001,1,137.439154,0
277,70,1,19090.03,4.575363954,1,235.159141,0
278,23,0,13194.33,13.42263904,1,147.46006699999998,1
279,84,2,63963.36,3.559550725,1,232.63780699999998,1
280,63,1,34447.89,5.971214226,1,137.439154,1
281,88,2,36315.29,7.287197615,1,129.948316,0
282,44,0,5009.07,11.30031859,1,242.632554,1
283,49,1,14202.72,10.26519974,1,187.609354,1
284,32,8,54779.76,16.28075484,1,232.65203799999998,1
285,69,1,36453.31,10.96553586,1,159.98046499999998,0
286,60,2,11250.71,10.93514898,1,159.947583,1
287,57,0,65951.35,2.98020454,1,137.48724199999998,0
288,62,8,15292.25,17.05256354,1,245.131966,1
289,26,0,41879.1,12.29165611,1,117.439154,0
290,85,0,17080.57,10.32744663,1,209.993134,1
291,82,2,68122.23,9.22949351,1,169.974105,0
292,40,2,39468.79,10.02758972,1,197.470195,0
293,50,0,123763.12,7.259022839,1,137.516476,1
294,71,1,84301.44,10.97274944,1,207.475448,1
295,48,2,42469.81,11.87042081,1,160.00128,0
296,24,0,75458.79,9.531063533,1,147.478341,0
297,79,3,60345.9,8.798065012999999,1,127.48872800000001,0
298,82,4,76066.77,15.27146446,1,139.98157700000002,0
299,68,2,42755.27,7.014445177000001,1,220.132293,1
300,77,5,76874.25,10.62019312,1,214.952509,0
301,19,1,41075.64,10.04585562,1,139.99788999999998,0
302,80,1,63095.62,10.88047174,0,270.160419,1
303,31,4,82131.87,9.975481565,1,202.443347,1
304,62,2,28502.33,7.248946018,1,172.47417,0
305,80,4,9450.84,9.53003591,1,137.46838799999998,1
306,36,1,44977.06,6.592317798,1,104.962874,0
307,72,0,13583.35,8.124261532,1,174.969934,0
308,50,0,42093.64,11.44655577,0,139.99788999999998,0
309,31,3,55398.87,10.175581800000002,1,144.98894099999998,0
310,22,0,22362.59,13.736212599999998,1,114.99756399999998,0
311,50,0,40271.47,13.93422217,1,172.484753,1
312,28,0,56178.63,3.4050506019999998,1,124.97808,0
313,63,0,21053.35,10.69284712,1,174.991856,0
314,73,1,75866.75,10.11985468,1,92.488023,0
315,72,3,74061.48,5.863179258,1,139.965008,0
316,23,7,35102.93,13.357551,1,192.470522,1
317,49,1,26391.1,14.04061351,1,220.11851600000003,1
318,82,1,29982.49,4.586902043,1,232.622804,1
319,72,1,51154.34,11.03563726,1,210.15627400000002,0
320,45,1,37583.97,11.32768159,1,114.972827,0
321,73,1,28654.87,5.307097721,1,149.977753,0
322,78,1,119968.61,8.993783986,0,184.98529299999998,1
323,71,4,11591.09,11.05733159,1,132.479779,0
324,67,4,70174.11,8.702618087000001,1,190.12704,1
325,43,1,8495.04,7.045651851000001,1,92.488023,0
326,27,5,17191.02,12.61411193,1,220.11486800000003,1
327,39,2,24732.09,9.703658153,1,107.49576599999999,1
328,52,0,27282.21,8.220453321,1,169.967067,0
329,19,9,40902.49,8.816497541,1,222.67921299999998,1
330,48,0,87568.16,11.11756812,1,200.132293,1
331,22,0,69327.78,13.07119875,1,262.610632,1
332,69,1,5194.22,12.10865222,1,152.495236,1
333,31,1,12951.51,9.681031902,1,202.636202,0
334,79,9,11179.42,10.49495185,1,127.47834099999999,0
335,65,0,47288.09,7.535866122000001,1,159.98300600000002,0
336,49,4,114398.35,8.713443753,1,124.960655,1
337,69,6,105646.73,7.191637555,1,252.62402999999998,1
338,74,3,42386.84,12.2870805,1,104.97808,0
339,27,3,38864.57,10.66015784,1,204.96103300000001,1
340,79,4,25215.22,7.044096971,1,245.145743,1
341,41,1,9302.3,12.14893118,1,95.019486,0
342,51,0,45225.74,12.71107869,1,169.937833,0
343,57,0,29976.15,9.759360165,1,207.475448,1
344,66,1,13155.79,2.8168210439999997,0,114.983787,0
345,85,4,14980.5,9.617602049,1,232.63780699999998,1
346,54,9,24017.57,13.06640293,1,225.131966,0
347,79,8,26204.77,8.669204518999999,1,212.64145499999998,1
348,56,3,27978.78,13.97477268,0,152.495236,1
349,80,1,46622.3,11.19861363,1,134.950905,1
350,37,0,34419.26,10.18921185,1,200.132293,1
351,24,7,8507.97,9.518819692000001,1,197.470195,0
352,48,3,64420.19,11.01996949,1,192.45674499999998,0
353,68,0,122263.81,14.91100172,1,162.471255,1
354,74,3,64446.9,11.17971961,1,222.660939,1
355,37,1,20647.83,12.16826675,1,114.950905,0
356,54,0,23956.91,17.39213562,1,182.446995,1
357,84,1,56003.36,12.02476736,1,95.005709,0
358,68,10,50150.81,6.676916499999999,1,172.45674499999998,1
359,39,10,4180.22,11.78679636,1,177.65076000000002,0
360,85,4,70023.28,7.8465216479999995,1,207.638588,0
361,86,1,40728.96,5.670110512000001,1,220.11851600000003,1
362,70,1,69248.13,13.37036883,1,137.46838799999998,0
363,33,1,65187.42,9.826229752,1,159.965008,1
364,58,1,26005.77,12.07226102,1,182.465269,0
365,58,2,10423.75,15.42491471,1,129.977753,0
366,42,4,28909.96,8.601959705,1,112.484375,1
367,89,2,28219.28,8.787582345,1,127.48872800000001,0
368,63,2,67319.27,6.362190982,1,162.471255,0
369,18,0,71348.1,9.507249087,0,154.96176599999998,1
370,82,4,39231.99,12.06831191,1,194.976769,0
371,61,8,28129.21,5.600227586,1,192.48852,0
372,36,7,69104.9,13.15969677,1,162.452604,0
373,87,1,31282.78,6.18537496,1,107.48056000000001,0
374,48,0,65229.24,9.089998883,1,142.48269399999998,1
375,56,8,15110.46,11.21142669,1,165.018175,1
376,57,0,66922.3,5.868957217,1,125.007314,0
377,89,3,1666.59,2.6573110669999997,1,139.987503,1
378,30,6,50258.38,13.75498892,1,112.455141,0
379,54,4,54373.35,11.07079287,1,212.622804,1
380,55,5,33588.84,10.74788638,1,182.460772,0
381,46,1,23629.05,15.68552752,1,159.947583,1
382,18,0,91186.03,10.08605721,1,245.145743,0
383,58,0,20204.74,16.26782621,1,149.977753,0
384,60,1,37703.83,4.946414498999999,1,184.967019,1
385,62,2,29117.32,14.19610787,1,92.455141,0
386,30,4,52531.72,15.83394061,1,149.944668,0
387,75,4,25742.72,7.663279641,1,167.45641899999998,1
388,23,7,21072.82,7.43893815,1,197.516854,1
389,84,1,37774.81,11.70582668,1,152.488401,1
390,61,3,20811.42,13.60774223,1,162.48269399999998,1
391,75,0,34474.39,6.02604588,1,262.610632,1
392,72,3,81388.6,8.273678516,1,190.173699,1
393,66,0,78272.96,9.424686492000001,0,187.513939,1
394,81,2,11655.88,10.05990041,1,212.64145499999998,1
395,34,4,37773.19,12.69711858,1,104.964303,0
396,82,1,40183.01,10.385318199999999,1,232.63780699999998,1
397,73,1,37149.4,10.48123205,1,142.49926299999998,0
398,28,0,10331.57,13.43076227,1,277.63748,1
399,48,1,37096.85,7.9515906439999995,1,112.455141,0
400,53,2,26004.59,9.100502767,1,220.11851600000003,1
401,52,4,77291.95,11.9086306,1,139.951231,1
402,20,3,24462.25,5.304627269,1,184.97845800000002,0
403,19,0,75871.75,12.07096717,1,210.138,1
404,70,0,28840.47,7.336943024,1,142.468917,0
405,48,4,25299.48,10.16142541,1,160.00128,0
406,28,2,37631.4,9.632814548999999,1,127.48198899999998,0
407,52,2,23014.69,6.346778536,1,162.452604,0
408,77,1,31300.68,12.1986895,1,172.45785700000002,0
409,71,3,55840.35,6.444558317,1,255.155493,0
410,22,4,9729.44,11.7174619,1,184.97968400000002,1
411,88,1,35891.67,6.286550987999999,1,175.006206,1
412,25,0,20801.9,9.886595026,1,112.455141,0
413,21,2,112429.2,7.972497589,1,194.95811799999998,0
414,39,1,33217.64,11.10996233,1,172.44408,0
415,29,1,45562.97,9.301929385,1,200.165175,0
416,22,1,15380.9,8.535578792999999,1,127.460067,0
417,44,10,100232.53,9.083448287000001,1,147.478341,0
418,74,4,57900.98,9.581508542,1,207.49737,0
419,84,2,60476.86,8.763218085,1,169.937833,0
420,65,1,26875.13,12.72077056,1,152.45785700000002,0
421,29,2,24447.03,5.3046355169999995,1,162.460772,0
422,51,2,14817.22,11.18732698,1,200.132293,1
423,40,0,6170.55,11.6443975,1,182.460772,1
424,49,2,33620.38,9.83612847,1,124.97808,0
425,61,7,86453.08,9.202197695,0,230.105118,1
426,61,3,31466.9,6.187489206,1,147.47384399999999,0
427,85,1,76984.15,9.320914781,1,142.48269399999998,0
428,25,8,43586.8,6.697226378,1,152.479779,0
429,48,4,13148.09,16.41445271,1,105.010962,0
430,86,4,11612.88,4.964218638999999,1,114.96578899999999,0
431,53,0,71215.87,6.702458265,1,184.97845800000002,1
432,88,2,18113.33,8.623296005,1,134.950905,0
433,40,1,18895.18,4.874661522,1,182.490006,1
434,23,1,48852.54,4.924368526,0,192.470522,1
435,63,3,6574.36,9.173811061,1,149.96209299999998,1
436,28,2,10342.14,9.553427818,1,95.019486,0
437,26,1,23028.48,6.007630739,1,245.174977,1
438,22,2,31843.16,18.39537758,1,169.944668,0
439,43,2,31920.88,14.02031408,1,207.49737,0
440,70,6,54961.9,12.07594948,1,245.145743,1
441,48,2,119964.79,13.40034021,1,127.47834099999999,0
442,29,1,21897.41,13.121526699999999,0,182.46760700000002,1
443,61,4,72129.01,10.4523599,0,267.642733,1
444,73,1,16368.02,10.07963518,1,104.99231100000002,0
445,27,2,59147.78,5.763454352999999,1,164.97845800000002,1
446,56,1,65900.37,9.086330232,0,240.11486800000003,1
447,19,6,69369.36,10.04912841,1,124.960655,0
448,56,1,23382.74,8.431329813,1,127.44206899999999,1
449,83,2,25886.2,8.961461799,0,169.992756,0
450,84,3,99519.26,12.87091514,0,169.992756,0
451,62,0,93039.69,7.236546463,1,179.97935800000002,0
452,67,0,37852.37,7.048563699,1,134.950905,0
453,21,1,54727.46,13.17156155,1,192.44043200000002,0
454,31,2,47944.46,11.11418795,1,172.44043200000002,0
455,25,2,18402.27,5.236234219,1,212.66946299999998,1
456,60,0,43631.75,10.08565191,1,175.133074,1
457,84,6,31392.97,4.843029288,1,159.965008,0
458,36,1,10466.23,7.565105657999999,1,112.484375,0
459,87,0,20197.89,7.940679007000001,1,179.96558100000001,0
460,80,2,99482.26,12.94031641,1,252.62402999999998,1
461,34,0,48005.75,7.794425904,1,95.005709,0
462,39,4,50666.54,4.88644359,1,240.11486800000003,1
463,42,8,6117.38,10.84392109,1,105.010962,0
464,36,4,7953.27,9.879617841,1,182.45383,0
465,18,0,101000.3,11.26553266,1,149.944668,1
466,66,0,10882.02,13.28523257,0,144.960655,0
467,20,3,69156.25,15.62909771,1,187.609354,1
468,73,0,19563.77,11.31172944,1,129.96209299999998,0
469,83,0,27113.0,11.06959212,1,129.976324,0
470,67,2,156740.67,13.45818264,1,192.44043200000002,1
471,62,2,23165.82,11.06361355,1,172.44408,1
472,34,2,13378.22,11.56147327,1,117.485813,0
473,28,2,5337.97,13.49663107,1,159.965008,0
474,26,2,72490.86,7.581534682999999,0,167.484705,1
475,82,2,12476.24,10.67669456,1,129.96209299999998,1
476,59,1,64584.13,11.74759925,1,139.98157700000002,0
477,46,6,32885.95,9.044025423999999,1,124.97808,0
478,44,1,80862.03,7.949846907,1,255.137219,1
479,56,4,49800.1,11.35513416,0,230.105118,0
480,32,10,6958.83,7.524691972,1,182.460772,0
481,50,2,19133.76,9.993073346000001,1,255.155493,1
482,53,7,23413.1,11.38306511,1,172.45785700000002,0
483,84,1,11957.82,9.818276662,1,137.48359399999998,0
484,33,5,31250.41,14.32006623,1,167.45641899999998,1
485,29,3,9487.91,10.02701706,1,127.49576599999999,0
486,87,7,13533.47,12.67439697,1,287.642733,1
487,34,3,46533.08,11.95689175,0,167.45641899999998,1
488,34,3,47946.16,16.23914454,1,164.98894099999998,0
489,28,1,14393.72,12.55052929,1,242.632554,1
490,68,2,4102.64,13.71586929,0,130.00641399999998,1
491,26,0,11249.18,8.90345193,1,257.63748,1
492,61,0,18684.74,11.70304454,1,129.977753,0
493,79,4,75276.52,3.602721856,1,232.622804,0
494,49,1,78129.73,5.21028807,1,182.46760700000002,0
495,85,3,97761.18,9.442505655,1,220.132293,1
496,25,0,20789.86,2.760749024,1,252.63780699999998,1
497,19,0,34038.71,13.249156900000001,1,142.452604,1
498,28,0,16051.94,13.4911859,1,94.972827,0
499,86,0,24266.04,7.779828792999999,1,210.105118,1
500,54,0,28712.86,10.68579941,1,92.455141,0
501,28,2,18966.81,9.905787776,1,194.969934,1
502,25,2,67530.44,11.62388139,1,129.977753,0
503,81,4,38866.92,12.19296315,1,242.62805699999998,1
504,89,2,44314.39,6.892345443,0,197.48762,1
505,62,0,26929.55,8.482252615,1,242.61063199999998,1
506,31,1,50643.95,9.179212931,1,139.93491799999998,0
507,48,3,4803.58,9.321060468999999,1,112.455141,0
508,22,1,21278.71,13.24354261,1,182.490006,1
509,22,0,16874.68,14.7376853,1,149.988989,0
